Platform,Customer Name,Customerid Id,Total Amount,Amount After Margin,amountReceived,monthname
AZURE,Intellisense Innovative Systems Private Limited,9157,38166.49,42462.94882,42462,August 2023
AZURE,Ziproles Enterprises,9194,7270.47,8553.494118,8553,August 2023
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,9354.18,11004.91765,11004,August 2023
AZURE,Draup Business Solutions Private Limited,9324,2652.35,3120.411765,3120,August 2023
AZURE,Purple Talk India Private Limited,9,7272.62,8556.023529,8556,July 2023
AZURE,Hytech Seed India Private Limited,254,5561.71,6543.188235,6543,July 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1007.64,1185.458824,1185,July 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,2624.14,3087.223529,3087,July 2023
AZURE,Krijay Technologies Private Limited,3715,3478.38,5068.612941,5068,July 2023
AZURE,SOUTHERN SPECHEM LLP,3870,914.09,1075.4,1075,July 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1118.4,1227.7235294,1227,July 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,24346.83,27148.798240000004,27148,July 2023
AZURE,Infusion Solutions,5609,1111.85,1308.058824,1308,July 2023
AZURE,Zeliot Connected Services Private Limited,6180,64290.5,75635.88235,75635,July 2023
AZURE,Annet Retransform (Gujarat) LLP,6193,17955.52,21124.14118,25204,July 2023
AZURE,Omnisys Systems,6230,73.03,85.91764706,85,July 2023
AZURE,"E Swift Software Private Limited,",6325,48276.88,56796.32942,28398,July 2023
AZURE,Synthesis Solutions LLP,6343,84766.45,93382.77471,99007,July 2023
AZURE,Data Semantics Pvt Ltd,6412,339016.68,398843.1529,398843,July 2023
AZURE,Sadhguru Audit and GRC Solutions Private Limited,6414,9383.92,11039.90588,11039,July 2023
AZURE,MRF LIMITED,6599,4865.09,5723.635294,5723,July 2023
AZURE,Simplilearn Solutions Private Limited,6604,313324.64,368617.2236,157831,July 2023
AZURE,BridgeLabz Solutions Private Limited,6698,158423.53,186380.6235,186379,July 2023
AZURE,TRDFIN Support Services Private Limited,6713,59025.41,69441.65882,69441,July 2023
AZURE,Barbeque Nation Hospitality Limited,6759,223243.69,262639.6353,262639,July 2023
AZURE,Biba Fashion Limited,6784,626.06,736.5411765,736,July 2023
AZURE,OREOPS FRAMEWORK PRIVATE LIMITED,6853,130899.17,148993.1159,148993,July 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,29600.11,34438.18882,34438,July 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,53467.77,62903.25882,62903,July 2023
AZURE,Les Concierges Services Pvt Ltd,7166,5494.44,6464.047058,3232,July 2023
AZURE,Bantia Furniture Private Limited,7330,61972.9,72909.29412,72909,July 2023
AZURE,Appcilious Private Limited,7412,7417.88,8726.917647,8726,July 2023
AZURE,Reflections Info Systems PVT LTD,7421,29425.29,34617.98824,31155,July 2023
AZURE,PILOG India Private Limited,7431,405725.55000000005,464186.8835,464186,July 2023
AZURE,Ncourage Social Enterprise Foundation,7474,48610.86,57189.24706,57189,July 2023
AZURE,Telecon Systems,7575,15946.77,18760.90588,18760,July 2023
AZURE,Association of Muslim Professionals,7659,16681.99,19625.87059,19625,July 2023
AZURE,Gurutwa Infotech Private Limited,8023,1254.63,1476.035294,1476,July 2023
AZURE,Master Tax Accounting Services LLP,8334,8609.29,10128.57647,10128,July 2023
AZURE,Intelogixs Research Private Limited,8424,66961.08,78777.74118,39388,July 2023
AZURE,Rallis India Limited,8602,51821.73,60966.74118,60966,July 2023
AZURE,Cloud 9 Technologies,8827,19134.67,22511.37647,22511,July 2023
AZURE,Intellisense Innovative Systems Private Limited,9157,38113.43,42397.04706,42397,July 2023
AZURE,Ziproles Enterprises,9194,15631.69,18390.22353,18390,July 2023
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,9332.21,10979.07059,10979,July 2023
AZURE,Purple Talk India Private Limited,9,7566.79,8902.105882,8902,June 2023
AZURE,Hytech Seed India Private Limited,254,5879.84,6917.458824,6917,June 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,990.01,1164.717647,1164,June 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,9.08,10.68235294,10,June 2023
AZURE,Triniti Advanced Software Labs Pvt.Ltd,2236,4075.68,4794.917647,4794,June 2023
AZURE,Krijay Technologies Private Limited,3715,11771.26,13848.54118,13848,June 2023
AZURE,SOUTHERN SPECHEM LLP,3870,890.92,1048.141176,1048,June 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,634.11,746.0117647,746,June 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,15529.93,18270.50588,18270,June 2023
AZURE,Infusion Solutions,5609,1087.43,1279.329412,1279,June 2023
AZURE,Zeliot Connected Services Private Limited,6180,64490.46,75871.12941,75871,June 2023
AZURE,Annet Technologies (Gujarat),6193,20949.11,24646.01176,28726,June 2023
AZURE,"E Swift Software Private Limited,",6325,23920.02,28141.2,28141,June 2023
AZURE,Synthesis Solutions LLP,6343,51334.46,60393.48235,66018,June 2023
AZURE,Data Semantics Pvt Ltd,6412,306377.77,360444.4353,360444,June 2023
AZURE,MRF LIMITED,6599,4797.35,5643.941176,5643,June 2023
AZURE,Simplilearn Solutions Private Limited,6604,332200.04,390823.576376,168366,June 2023
AZURE,BridgeLabz Solutions Private Limited,6698,111318.03,130962.3882,130962,June 2023
AZURE,TRDFIN Support Services Private Limited,6713,54180.67,63741.96471,63741,June 2023
AZURE,Barbeque Nation Hospitality Limited,6759,265131.87,311919.8471,311919,June 2023
AZURE,Biba Fashion Limited,6784,644.84,758.6352941,758,June 2023
AZURE,OREOPS FRAMEWORK PRIVATE LIMITED,6853,94718.06,111433.0118,111433,June 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,26733.25,31450.88235,31450,June 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,51865.38,61018.09412,61018,June 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2688.48,3162.917647,3162,June 2023
AZURE,Bantia Furniture Private Limited,7330,57376.19,67501.4,67501,June 2023
AZURE,Appcilious Private Limited,7412,9568.35,11256.88235,11256,June 2023
AZURE,Reflections Info Systems PVT LTD,7421,28009.75,32952.64706,29657,June 2023
AZURE,PILOG India Private Limited,7431,166524.66,195911.3647,223631,June 2023
AZURE,Ncourage Social Enterprise Foundation,7474,47256.25,55595.58824,55595,June 2023
AZURE,Telecon Systems,7575,15724.83,18499.8,18499,June 2023
AZURE,Association of Muslim Professionals,7659,14697.66,17291.36471,17291,June 2023
AZURE,Gurutwa Infotech Private Limited,8023,1245.99,1465.870588,1465,June 2023
AZURE,Master Tax Accounting Services LLP,8334,5398.45,6351.117647,6351,June 2023
AZURE,Intelogixs Research Private Limited,8424,14568.83,17139.8,11669,June 2023
AZURE,Rallis India Limited,8602,56717.29,66726.22353,66726,June 2023
AZURE,Cloud 9 Technologies,8827,18670.15,21964.88235,21964,June 2023
AZURE,Ziproles Enterprises,9194,2025.46,2382.894118,2382,June 2023
AZURE,Code Facts IT Solutions Pvt. Ltd,9220,1344.21,1581.423529,1581,June 2023
AZURE,Purple Talk India Private Limited,9,20269.39,23846.34118,23846,May 2023
AZURE,Hytech Seed India Private Limited,254,6140.99,7224.694118,7224,May 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1005.77,1183.258824,1183,May 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,5868.64,6904.282353,6904,May 2023
AZURE,Triniti Advanced Software Labs Pvt.Ltd,2236,8028.27,9445.023529,9445,May 2023
AZURE,Krijay Technologies Private Limited,3715,9281.78,10919.74118,10919,May 2023
AZURE,SOUTHERN SPECHEM LLP,3870,910.1,1070.705882,1070,May 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1444.8500000000001,1612.089412,1612,May 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,24369.37,27180.505879999997,27180,May 2023
AZURE,Infusion Solutions,5609,1107.16,1302.541176,1302,May 2023
AZURE,Zeliot Connected Services Private Limited,6180,1188.81,1398.6,1398,May 2023
AZURE,Annet Technologies (Gujarat),6193,20002.82,23532.72941,27612,May 2023
AZURE,"E Swift Software Private Limited,",6325,24066.06,28313.01176,28313,May 2023
AZURE,Synthesis Solutions LLP,6343,103433.93,115366.54824,120991,May 2023
AZURE,Data Semantics Pvt Ltd,6412,285467.95,335844.6471,335844,May 2023
AZURE,MRF LIMITED,6599,5089.36,5987.482353,5987,May 2023
AZURE,Simplilearn Solutions Private Limited,6604,322349.64,379234.87062,159325,May 2023
AZURE,BridgeLabz Solutions Private Limited,6698,33535.78,39453.85882,39453,May 2023
AZURE,TRDFIN Support Services Private Limited,6713,52135.59,61335.98824,61335,May 2023
AZURE,Barbeque Nation Hospitality Limited,6759,274047.07,322408.3176,322408,May 2023
AZURE,Biba Fashion Limited,6784,695.03,817.6823529,817,May 2023
AZURE,OREOPS FRAMEWORK PRIVATE LIMITED,6853,141676.58000000002,161689.8147,161689,May 2023
AZURE,Wipro Enterprise Pvt. Limited,7016,306441.66,360519.6,360519,May 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,29492.41,34312.82059,34312,May 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,53151.22,62530.84706,62530,May 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2745.04,3229.458824,3229,May 2023
AZURE,Bantia Furniture Private Limited,7330,58802.4,69179.29412,69179,May 2023
AZURE,Appcilious Private Limited,7412,11622.96,13674.07059,13674,May 2023
AZURE,Reflections Info Systems PVT LTD,7421,24039.02,28281.2,25453,May 2023
AZURE,PILOG India Private Limited,7431,242029.66,271649.1118,311606,May 2023
AZURE,Ncourage Social Enterprise Foundation,7474,35486.19,41748.45882,41748,May 2023
AZURE,Telecon Systems,7575,15463.73,18192.62353,18192,May 2023
AZURE,Association of Muslim Professionals,7659,14987.83,17632.74118,17632,May 2023
AZURE,Gurutwa Infotech Private Limited,8023,1250.27,1470.905882,1470,May 2023
AZURE,Master Tax Accounting Services LLP,8334,5554.69,6534.929412,6534,May 2023
AZURE,Intelogixs Research Private Limited,8424,24735.73,29100.85882,23636,May 2023
AZURE,Rallis India Limited,8602,59193.33,69639.21176,69639,May 2023
AZURE,Dhage Industries Pvt Ltd,8725,15197.95,17879.94118,17878,May 2023
AZURE,Cloud 9 Technologies,8827,19010.97,22365.84706,22365,May 2023
AZURE,Pilog India Private Limited (Integral Data Analytics),9157,47755.15,53748.733530000005,13791,May 2023
AZURE,Purple Talk India Private Limited,9,12825.62,15088.96471,15088,April 2023
AZURE,Hytech Seed India Private Limited,254,5089.55,5987.705882,5987,April 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,988.09,1162.458824,1162,April 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,30463.33,35839.21176,35839,April 2023
AZURE,Triniti Advanced Software Labs Pvt.Ltd,2236,9831.65,11566.64706,11566,April 2023
AZURE,Krijay Technologies Private Limited,3715,8169.92,9611.670588,9611,April 2023
AZURE,SOUTHERN SPECHEM LLP,3870,881.87,1037.494118,1037,April 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,1681.4,1978.117647,1978,April 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,26657.47,31361.72941,31361,April 2023
AZURE,Infusion Solutions,5609,1084.42,1275.788235,1275,April 2023
AZURE,Annet Technologies (Gujarat),6193,25396.04,29877.69412,33957,April 2023
AZURE,"E Swift Software Private Limited,",6325,13616.11,16018.95294,16018,April 2023
AZURE,Synthesis Solutions LLP,6343,104511.40000000001,116590.01059,122215,April 2023
AZURE,Data Semantics Pvt Ltd,6412,262304.98,308594.0941,308594,April 2023
AZURE,MRF LIMITED,6599,4910.87,5777.494118,5777,April 2023
AZURE,Simplilearn Solutions Private Limited,6604,350672.92000000004,412556.37642,170086,April 2023
AZURE,BridgeLabz Solutions Private Limited,6698,20392.74,23991.45882,23991,April 2023
AZURE,TRDFIN Support Services Private Limited,6713,50537.59,59455.98824,59455,April 2023
AZURE,Barbeque Nation Hospitality Limited,6759,287891.35,338695.7059,338695,April 2023
AZURE,Biba Fashion Limited,6784,688.35,809.8235294,809,April 2023
AZURE,OREOPS FRAMEWORK PRIVATE LIMITED,6853,143858.71,167668.34590000001,167668,April 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,28868.420000000002,33576.03235,33576,April 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,51892.15,61049.58824,61049,April 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2684.34,3158.047059,3158,April 2023
AZURE,Bantia Furniture Private Limited,7330,56163.24,66074.4,66074,April 2023
AZURE,Appcilious Private Limited,7412,3292.87,3873.964706,3873,April 2023
AZURE,Reflections Info Systems PVT LTD,7421,25337.56,29808.89412,26828,April 2023
AZURE,PILOG India Private Limited,7431,258730.72,291205.9565,366707,April 2023
AZURE,Ncourage Social Enterprise Foundation,7474,21118.32,24845.08235,24845,April 2023
AZURE,Telecon Systems,7575,12110.9,14248.11765,14248,April 2023
AZURE,Association of Muslim Professionals,7659,17277.89,20326.92941,20326,April 2023
AZURE,Gurutwa Infotech Private Limited,8023,1335.58,1571.270588,1571,April 2023
AZURE,Master Tax Accounting Services LLP,8334,5554.78,6535.035294,6535,April 2023
AZURE,Rallis India Limited,8602,53593.39,63051.04706,63051,April 2023
AZURE,Dhage Industries Pvt Ltd,8725,25782.21,30332.01176,30332,April 2023
AZURE,Cloud 9 Technologies,8827,18574.78,21852.68235,21852,April 2023
AZURE,Purple Talk India Private Limited,9,5232.95,6156.411765,6156,March 2023
AZURE,Hytech Seed India Private Limited,254,5178.28,6092.094118,6092,March 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1018.6,1198.352941,1198,March 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,32968.15,38786.05882,38786,March 2023
AZURE,Triniti Advanced Software Labs Pvt.Ltd,2236,23836.21,28042.6,28042,March 2023
AZURE,Krijay Technologies Private Limited,3715,8517.92,10021.08235,10021,March 2023
AZURE,SOUTHERN SPECHEM LLP,3870,905.24,1064.988235,1064,March 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,4549.39,5352.223529,5352,March 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,26158.06,30774.18824,30774,March 2023
AZURE,Infusion Solutions,5609,1122.03,1320.035294,1320,March 2023
AZURE,Annet Technologies (Gujarat),6193,25613.6,30133.64706,34213,March 2023
AZURE,"E Swift Software Private Limited,",6325,14725.69,17324.34118,17324,March 2023
AZURE,Synthesis Solutions LLP,6343,106325.41,118692.83765,124317,March 2023
AZURE,Data Semantics Pvt Ltd,6412,268592.42,317231.8312,317231,March 2023
AZURE,MRF LIMITED,6599,5112.08,6014.211765,6014,March 2023
AZURE,Simplilearn Solutions Private Limited,6604,360078.16,423621.36465999996,179061,March 2023
AZURE,BridgeLabz Solutions Private Limited,6698,8590.76,10106.77647,10106,March 2023
AZURE,TRDFIN Support Services Private Limited,6713,51556.52,60654.72941,60654,March 2023
AZURE,Barbeque Nation Hospitality Limited,6759,143703.96,169063.5053,169063,March 2023
AZURE,Biba Fashion Limited,6784,703.32,827.4352941,827,March 2023
AZURE,OREOPS FRAMEWORK PRIVATE LIMITED,6853,149680.42,174510.47590000002,174510,March 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,29865.2,34746.81235,34746,March 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,53535.86,62983.36824,62983,March 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2780.29,3270.929412,3270,March 2023
AZURE,Bantia Furniture Private Limited,7330,57814.82,68020.34529,68020,March 2023
AZURE,Appcilious Private Limited,7412,7673.17,9027.258824,9027,March 2023
AZURE,Reflections Info Systems PVT LTD,7421,25848.2,30409.86412,27368,March 2023
AZURE,PILOG India Private Limited,7431,210814.88999999998,241221.0776,316256,March 2023
AZURE,Ncourage Social Enterprise Foundation,7474,21271.03,25024.74118,25024,March 2023
AZURE,Telecon Systems,7575,11057.09,13009.14765,13009,March 2023
AZURE,Association of Muslim Professionals,7659,14200.28,16706.21176,16706,March 2023
AZURE,Gurutwa Infotech Private Limited,8023,1314.01,1545.894118,1545,March 2023
AZURE,Church Street ESolutions Private Limited,8326,3.3,3.882352941,3,March 2023
AZURE,Master Tax Accounting Services LLP,8334,4132.36,4861.6,4861,March 2023
AZURE,Intelogixs Research Private Limited,8424,28235.88,33218.68235,33218,March 2023
AZURE,Rallis India Limited,8602,29088.13,34221.32941,34220,March 2023
AZURE,Dhage Industries Pvt Ltd,8725,19226.35,22619.23529,22619,March 2023
AZURE,Cloud 9 Technologies,8827,19222.22,22614.37647,22614,March 2023
AZURE,Purple Talk India Private Limited,9,4656.63,5478.388235,5478,February 2023
AZURE,Hytech Seed India Private Limited,254,5186.48,6101.741176,6101,February 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,929.36,1093.364706,1093,February 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,31690.63,37283.09412,37283,February 2023
AZURE,Triniti Advanced Software Labs Pvt.Ltd,2236,21655.12,25476.61176,25476,February 2023
AZURE,Krijay Technologies Private Limited,3715,7623.99,8969.4,8969,February 2023
AZURE,SOUTHERN SPECHEM LLP,3870,807.07,949.4941176,949,February 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,4316.64,5078.4,5078,February 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,23770.62,27965.43529,27965,February 2023
AZURE,Infusion Solutions,5609,901.63,1060.741176,1060,February 2023
AZURE,Annet Technologies (Gujarat),6193,18529.49,21799.4,25879,February 2023
AZURE,"E Swift Software Private Limited,",6325,18244.16,21463.71765,21463,February 2023
AZURE,Synthesis Solutions LLP,6343,99962.6,111301.76706000001,116926,February 2023
AZURE,Data Semantics Pvt Ltd,6412,236730.81,278506.8353,278506,February 2023
AZURE,MRF LIMITED,6599,4580.77,5389.141176,5389,February 2023
AZURE,Simplilearn Solutions Private Limited,6604,328600.25999999995,386588.54124,161180,February 2023
AZURE,BridgeLabz Solutions Private Limited,6698,7906.13,9301.329412,9301,February 2023
AZURE,TRDFIN Support Services Private Limited,6713,47363.53,55721.8,55721,February 2023
AZURE,Barbeque Nation Hospitality Limited,6759,116786.69,137396.1059,137396,February 2023
AZURE,Biba Fashion Limited,6784,657.06,773.0117647,773,February 2023
AZURE,Sterlo Platform Private Limited,6853,135030.49,157262.6906,157262,February 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,26911.78,31277.94824,31277,February 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,48136.42,56631.08235,56631,February 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2495.41,2935.776471,2935,February 2023
AZURE,Bantia Furniture Private Limited,7330,52078.9,61269.29412,61269,February 2023
AZURE,Appcilious Private Limited,7412,5400.13,6353.094118,6353,February 2023
AZURE,Reflections Info Systems PVT LTD,7421,33418.14,39315.45882,35383,February 2023
AZURE,PILOG India Private Limited,7431,172809.83,196138.74409999998,262473,February 2023
AZURE,Ncourage Social Enterprise Foundation,7474,19114.84,22488.04706,22488,February 2023
AZURE,Telecon Systems,7575,16510.97,19424.67059,19424,February 2023
AZURE,Association of Muslim Professionals,7659,11680.71,13742.01176,13742,February 2023
AZURE,Gurutwa Infotech Private Limited,8023,1235.87,1453.964706,1453,February 2023
AZURE,Church Street ESolutions Private Limited,8326,45.65,53.70588235,53,February 2023
AZURE,Intelogixs Research Private Limited,8424,26953.33,31709.8,31709,February 2023
AZURE,Rallis India Limited,8602,18713.72,22016.14118,22016,February 2023
AZURE,Dhage Industries Pvt Ltd,8725,8063.49,9486.458824,9486,February 2023
AZURE,Cloud 9 Technologies,8827,17269.15,20316.64706,20316,February 2023
AZURE,Purple Talk India Private Limited,9,5198.27,6115.611765,6115,January 2023
AZURE,Hytech Seed India Private Limited,254,5923.31,6968.6,6968,January 2023
AZURE,Hyderabad Institute of Neuro Sciences  Pvt Ltd,375,1019.25,1199.117647,1199,January 2023
AZURE,Obopay Mobile Technology India Pvt. Ltd.,1549,36018.26,42374.42353,42374,January 2023
AZURE,Triniti Advanced Software Labs Pvt.Ltd,2236,23871.59,28084.22353,28084,January 2023
AZURE,Krijay Technologies Private Limited,3715,8544.35,10052.17647,10052,January 2023
AZURE,SOUTHERN SPECHEM LLP,3870,841.92,990.4941176,990,January 2023
AZURE,NOMUS COMM-SYSTEMS PVT. LTD,4879,4668.69,5492.576471,5492,January 2023
AZURE,TACTIVE SOFTWARE SYSTEMS PRIVATE LIMITED,4937,26186.06,30807.12941,30807,January 2023
AZURE,Infusion Solutions,5609,657.94,720.5252941,720,January 2023
AZURE,Annet Technologies (Gujarat),6193,17038.34,20045.10588,24125,January 2023
AZURE,"E Swift Software Private Limited,",6325,20817.9,24491.64706,24491,January 2023
AZURE,Synthesis Solutions LLP,6343,105394.9,117588.83588,123213,January 2023
AZURE,Data Semantics Pvt Ltd,6412,223558.7,263010.2353,263010,January 2023
AZURE,MRF LIMITED,6599,5121.14,6024.870588,6024,January 2023
AZURE,Simplilearn Solutions Private Limited,6604,370322.45999999996,435673.48234,181475,January 2023
AZURE,BridgeLabz Solutions Private Limited,6698,9136.07,10748.31765,10748,January 2023
AZURE,TRDFIN Support Services Private Limited,6713,52208.05,61421.23529,61421,January 2023
AZURE,Barbeque Nation Hospitality Limited,6759,137467.07,161725.9647,161725,January 2023
AZURE,Biba Fashion Limited,6784,704.34,828.6352941,828,January 2023
AZURE,Sterlo Platform Private Limited,6853,148363.25,171956.03,171956,January 2023
AZURE,MY CHOICE SAREES PVT LTD,7042,29886.14,34770.882939999996,34770,January 2023
AZURE,Tibrewala Electromech Pvt Ltd,7053,53358.27,62774.43529,62774,January 2023
AZURE,Les Concierges Services Pvt Ltd,7166,2786.81,3278.6,3278,January 2023
AZURE,Bantia Furniture Private Limited,7330,56933.98,66981.15294,66981,January 2023
AZURE,Appcilious Private Limited,7412,2200.13,2588.388235,2588,January 2023
AZURE,Reflections Info Systems PVT LTD,7421,31810.26,37423.83529,33681,January 2023
AZURE,PILOG India Private Limited,7431,189043.88,215119.49180000002,265482,January 2023
AZURE,Ncourage Social Enterprise Foundation,7474,42643.54,50168.87058,25084,January 2023
AZURE,Telecon Systems,7575,33789.97,39752.90588,39752,January 2023
AZURE,Association of Muslim Professionals,7659,13017.63,15314.85882,15314,January 2023
AZURE,Gurutwa Infotech Private Limited,8023,1339.12,1575.435294,1575,January 2023
AZURE,Church Street ESolutions Private Limited,8326,1189.14,1398.988235,1398,January 2023
AZURE,Intelogixs Research Private Limited,8424,24512.97,28838.78824,28838,January 2023
AZURE,Rallis India Limited,8602,5528.04,6503.576471,6503,January 2023
AZURE,Cloud9 Technologies,8827,415.14,488.4,488,January 2023
GCP,Purple Talk India Private Limited,9,8581.56,8581.56,151133,January 2024
GCP,Techsophy Information Solutions Pvt Ltd,21,846.74,846.74,846,January 2024
GCP,SHREE NIDHI SECURE PRINT (P) LTD.,196,47855.61,47855.61,50135,January 2024
GCP,iVIS International Pvt Ltd,229,1480.99,1480.99,122996,January 2024
GCP,Gulam Mustafa Enterprises Pvt.Ltd.,245,49793.77,49793.77,49793,January 2024
GCP,Navjyoti Commodity Management Services Limited,652,13442.18,13442.18,17242,January 2024
GCP,Sequel Logistics Private Limited,869,695.79,695.79,57785,January 2024
GCP,Xobin Technologies Private Limited,933,109912.11,109912.11,109911,January 2024
GCP,FNP E Retail Private Limited,963,37.08000000066,37.08000000066,3077,January 2024
GCP,Obopay Mobile Technology India Pvt. Ltd.,1549,154327.44,154327.44,154327,January 2024
GCP,MBC Corporate Advisors Private Limited,1563,27736.71,27736.71,27736,January 2024
GCP,Green Enabled IT Solutions Pvt. Ltd.,1572,70222.3,70222.3,70221,January 2024
GCP,Moonfrog Labs private Limited,2266,202918.16,202918.16,202918,January 2024
GCP,Rotomaker India Private Limited,2325,757.35,757.35,757,January 2024
GCP,VST INDUSTRIES LIMITED,2453,200409.48,200409.48,200409,January 2024
GCP,Regalix India Pvt Ltd,2560,3934.91,3934.91,3934,January 2024
GCP,INFOLOGY,2863,23885.510000000002,23885.510000000002,23885,January 2024
GCP,Prestige Estates Projects Limited,3094,636171.6599999999,636171.6599999999,178137,January 2024
GCP,iDisha info Labs Private Limited,3237,1740.63,1740.63,144559,January 2024
GCP,MTR Foods Private Limited,3354,5422.12,5422.12,5422,January 2024
GCP,Medvarsity Online limited,3638,737443.98,737443.98,737443,January 2024
GCP,ALO AGRITECH Private Limited,3648,3996.19,3996.19,3996,January 2024
GCP,AutoRABIT Software Pvt Ltd,3749,449.92,449.92,449,January 2024
GCP,QBurst Technologies Pvt Ltd,3891,11174.34,11174.34,11174,January 2024
GCP,Tactive Software Systems Private Limited,4937,10893.46,10893.46,10893,January 2024
GCP,Krypt India Private Limited,5402,2516175.72,2516175.72,869638,January 2024
GCP,Matex Net Private Limited,6015,225118.32,225118.32,225118,January 2024
GCP,Zeliot Connected Services Private Limited,6180,1254.78,1254.78,1217,January 2024
GCP,FEG India Solutions Private Limited,6261,114508.68,114508.68,114508,January 2024
GCP,THG Publishing Pvt Ltd,6268,178578.88,178578.88,178578,January 2024
GCP,Arunesh Dutta,6284,126.15,126.15,126,January 2024
GCP,Navkar Infotech,6290,161.61,161.61,13421,January 2024
GCP,"Poorvika Mobiles Private Limited,",6465,649708.34,649708.34,649708,January 2024
GCP,Gaboli Online Services Pvt Ltd,6627,51841.43,51841.43,51841,January 2024
GCP,42Gears Mobility Systems Private Limited,6628,351272.72,351272.72,4812428,January 2024
GCP,Node Technologies India Private Limited,6647,16.66,16.66,16,January 2024
GCP,Atria Brindavan power Private Limited,6648,65839.88,65839.88,65839,January 2024
GCP,CaratLane Trading Private LImited,6658,12912.64,12912.64,12912,January 2024
GCP,US Technology Intl Pvt Ltd,6659,2661076.17,2661076.17,2870950,January 2024
GCP,INFINITI SOFTWARE SOLUTIONS PRIVATE LIMITED,6660,18529.72,18529.72,18529,January 2024
GCP,BridgeLabz Solutions Private Limited,6698,31637.37,31637.37,31636,January 2024
GCP,GABA PROJECTS PRIVATE LIMITED,6728,20479.07,20479.07,20479,January 2024
GCP,"D&R Business Solutions Private Limited,",6754,5684.44,5684.44,5684,January 2024
GCP,Barbeque Nation Hospitality Limited,6759,1153.41,1153.41,1153,January 2024
GCP,DTDC Express Private Limited,6826,26085987.39,26085987.39,8947493,January 2024
GCP,Monsoon CreditTech Pvt. Ltd.,6843,3436.58,3436.58,3436,January 2024
GCP,G.M. Fabrics Private Limited,6868,49242.13,49242.13,47191,January 2024
GCP,Techmash Solutions Private Limited,6873,1291.89,1291.89,107291,January 2024
GCP,Acuity Knowledge Centre (India) Private Limited,6888,3057.28,3057.28,3057,January 2024
GCP,Mediacred Private Limited,6890,1363.02,1363.02,1363,January 2024
GCP,Sublime,6902,102339.74,102339.74,102339,January 2024
GCP,OSAAT Educational Charitable Trust (India),6925,11731.66,11731.66,11731,January 2024
GCP,Autonom8 Private Limited,6979,4632968.159999999,4632968.159999999,2315455,January 2024
GCP,MALABAR GOLD PRIVATE LIMITED,7013,119701.48,119701.48,119701,January 2024
GCP,Fluidi5 Technologies Private Limited,7029,93937.91,93937.91,93937,January 2024
GCP,Akshay D Joshi,7037,215.8,215.8,17922,January 2024
GCP,HASHLOG SOLUTIONS PRIVATE LIMITED,7048,47172.29,47172.29,47172,January 2024
